confederacion,rating_inicial,n_equipos,rating_actual,obs_vs_esp,transfer_neto,delta
CAF,815.985,10,836.834,5.323,20.853,20.849
CONMEBOL,1365.565,6,1370.271,1.035,4.706,4.706
OFC,124.411,1,126.219,0.488,1.807,1.808
CONCACAF,792.15,6,789.617,-1.275,-2.536,-2.533
UEFA,1287.035,16,1278.156,-2.993,-8.88,-8.879
AFC,789.942,9,773.992,-2.579,-15.95,-15.95
