confederacion,rating_inicial,n_equipos,rating_actual,obs_vs_esp,transfer_neto,delta
CAF,796.329,10,816.215,5.526,19.886,19.886
OFC,131.551,1,133.338,0.485,1.787,1.787
CONCACAF,757.084,6,756.323,-0.932,-0.762,-0.761
CONMEBOL,1399.018,6,1397.467,-0.258,-1.551,-1.551
AFC,747.643,9,742.123,-1.059,-5.52,-5.52
UEFA,1288.866,16,1275.024,-3.761,-13.842,-13.842
