id_partido,fecha,fase,codigo,rival,gf,gc,resultado,W,We,I,G,delta_r,rating_post,inter_confederacion,delta_conf,pendiente_resolucion,rank_post
14,2026-06-13,grupos,SCO,HAI,1,0,V,1,0.9745,25,1,0.638,757.706,TRUE,0.096,FALSE,34
15,2026-06-19,grupos,SCO,MAR,0,1,D,0,0.008,25,1,-0.2,757.506,TRUE,-0.03,FALSE,33
17,2026-06-24,grupos,SCO,BRA,0,3,D,0,0.0066,25,2.0986,-0.347,757.16,TRUE,-0.052,FALSE,33
82,2026-07-01,dieciseisavos,SEN,BEL,2,3,D,0,0.246,35,1,-8.608,1325.91,TRUE,-1.291,FALSE,14
49,2026-06-16,grupos,SEN,FRA,1,3,D,0,0.0274,25,1.6931,-1.158,1356.651,TRUE,-0.174,FALSE,14
52,2026-06-22,grupos,SEN,NOR,2,3,D,0,0.9156,25,1,-22.89,1333.761,TRUE,-3.434,FALSE,14
54,2026-06-26,grupos,SEN,IRQ,5,0,V,1,0.9884,25,2.6094,0.758,1334.518,TRUE,0.114,FALSE,14
85,2026-07-02,dieciseisavos,SUI,ALG,2,0,V,1,0.8095,35,1.6931,11.287,1248.389,TRUE,1.693,FALSE,18
8,2026-06-13,grupos,SUI,QAT,1,1,E,0.5,0.9786,25,1,-11.965,1232.796,TRUE,-1.795,FALSE,18
9,2026-06-18,grupos,SUI,BIH,4,1,V,1,0.9926,25,2.0986,0.39,1233.186,FALSE,0,FALSE,18
11,2026-06-24,grupos,SUI,CAN,2,1,V,1,0.8434,25,1,3.916,1237.102,TRUE,0.587,FALSE,18
77,2026-06-30,dieciseisavos,SWE,FRA,0,3,D,0,0.0012,35,2.0986,-0.087,809.506,FALSE,0,FALSE,32
32,2026-06-14,grupos,SWE,TUN,5,1,V,1,0.6545,25,2.3863,20.614,799.121,TRUE,3.092,FALSE,31
33,2026-06-20,grupos,SWE,NED,1,5,D,0,0.011,25,2.3863,-0.659,798.463,FALSE,0,FALSE,31
35,2026-06-25,grupos,SWE,JPN,1,1,E,0.5,0.0548,25,1,11.131,809.594,TRUE,1.67,FALSE,31
32,2026-06-14,grupos,TUN,SWE,1,5,D,0,0.3455,25,2.3863,-20.614,646.939,TRUE,-3.092,FALSE,36
34,2026-06-20,grupos,TUN,JPN,0,4,D,0,0.0238,25,2.3863,-1.422,645.517,TRUE,-0.213,FALSE,36
36,2026-06-25,grupos,TUN,NED,1,3,D,0,0.0046,25,1.6931,-0.194,645.324,TRUE,-0.029,FALSE,36
20,2026-06-13,grupos,TUR,AUS,0,2,D,0,0.6236,25,1.6931,-26.397,1071.012,TRUE,-3.96,FALSE,21
22,2026-06-19,grupos,TUR,PAR,0,1,D,0,0.8558,25,1,-21.395,1049.617,TRUE,-3.209,FALSE,23
23,2026-06-25,grupos,TUR,USA,3,2,V,1,0.1707,25,1,20.733,1070.35,TRUE,3.11,FALSE,20
44,2026-06-15,grupos,URU,KSA,1,1,E,0.5,0.9916,25,1,-12.289,1308.956,TRUE,-1.843,FALSE,16
46,2026-06-21,grupos,URU,CPV,2,2,E,0.5,0.9964,25,1,-12.411,1296.545,TRUE,-1.862,FALSE,16
48,2026-06-26,grupos,URU,ESP,0,1,D,0,0.0193,25,1,-0.482,1296.062,TRUE,-0.072,FALSE,16
81,2026-07-01,dieciseisavos,USA,BIH,2,0,V,1,0.994,35,1.6931,0.353,1303.858,TRUE,0.053,FALSE,15
19,2026-06-12,grupos,USA,PAR,4,1,V,1,0.9598,25,2.0986,2.107,1317.236,TRUE,0.316,FALSE,16
21,2026-06-19,grupos,USA,AUS,2,0,V,1,0.8346,25,1.6931,7.002,1324.238,TRUE,1.05,FALSE,15
23,2026-06-25,grupos,USA,TUR,2,3,D,0,0.8293,25,1,-20.733,1303.505,TRUE,-3.11,FALSE,15
62,2026-06-17,grupos,UZB,COL,1,3,D,0,0.0101,25,1.6931,-0.428,608.358,TRUE,-0.064,FALSE,37
63,2026-06-23,grupos,UZB,POR,0,5,D,0,0.0029,25,2.6094,-0.188,608.17,TRUE,-0.028,FALSE,37
66,2026-06-27,grupos,UZB,COD,1,3,D,0,0.4077,25,1.6931,-17.259,590.91,TRUE,-2.589,FALSE,37
